counts,emotion,percent
1403,happi,0.09767474241158451
1129,sad,0.07859927596769702
711,angri,0.04949874686716792
633,confus,0.04406850459482038
588,shock,0.04093567251461988
529,surpris,0.03682818156502367
499,upset,0.03473962684489
403,mad,0.028056251740462265
400,disgust,0.0278473962684489
350,scare,0.024366471734892786
327,none,0.022765246449456975
303,excit,0.02109440267335004
296,silli,0.020607073238652185
280,content,0.01949317738791423
176,annoy,0.012252854358117515
164,calm,0.011417432470064048
161,goofi,0.011208576998050682
158,seriou,0.010999721526037315
157,unhappi,0.010930103035366193
131,bore,0.009120022277917014
126,worri,0.008771929824561403
125,funni,0.00870231133389028
122,unpleas,0.008493455861876914
117,supris,0.008145363408521303
110,smile,0.007658033973823447
109,cri,0.007588415483152325
101,uncomfort,0.007031467557783347
96,frustrat,0.006683375104427736
92,disappoint,0.006404901141743247
80,concern,0.00556947925368978
74,interest,0.005151768309663046
71,focus,0.0049429128376496795
70,intrigu,0.004873294346978557
67,play,0.0046644388749651905
67,blank,0.0046644388749651905
66,tire,0.004594820384294068
65,stare,0.004525201893622946
60,curiou,0.004177109440267335
57,pleas,0.003968253968253968
54,bad,0.0037593984962406013
53,regret,0.003689780005569479
52,cute,0.003620161514898357
52,confid,0.003620161514898357
51,indiffer,0.0035505430242272346
51,chill,0.0035505430242272346
50,crazi,0.0034809245335561123
46,guilti,0.0032024505708716233
45,pose,0.003132832080200501
44,displeas,0.003063213589529379
42,hate,0.0029239766081871343
41,hurt,0.002854358117516012
41,anger,0.002854358117516012
37,distraught,0.002575884154831523
35,weird,0.0024366471734892786
35,dislik,0.0024366471734892786
34,normal,0.0023670286828181564
34,ugli,0.0023670286828181564
34,fear,0.0023670286828181564
33,disbelief,0.002297410192147034
32,depress,0.002227791701475912
32,afraid,0.002227791701475912
31,teeth,0.0021581732108047896
30,joy,0.0020885547201336674
28,quirki,0.001949317738791423
28,gross,0.001949317738791423
28,distress,0.001949317738791423
27,cool,0.0018796992481203006
27,kid,0.0018796992481203006
27,lost,0.0018796992481203006
27,frustur,0.0018796992481203006
27,shook,0.0018796992481203006
26,question,0.0018100807574491784
26,strang,0.0018100807574491784
26,young,0.0018100807574491784
24,tear,0.001670843776106934
24,uninterest,0.001670843776106934
24,anxiou,0.001670843776106934
24,sassi,0.001670843776106934
23,thrill,0.0016012252854358117
23,proud,0.0016012252854358117
23,nervou,0.0016012252854358117
22,amaz,0.0015316067947646894
22,piss,0.0015316067947646894
22,judgement,0.0015316067947646894
20,cheer,0.001392369813422445
20,scream,0.001392369813422445
20,dissapoint,0.001392369813422445
20,unamus,0.001392369813422445
20,fun,0.001392369813422445
20,sour,0.001392369813422445
19,smug,0.0013227513227513227
18,bother,0.0012531328320802004
18,bewild,0.0012531328320802004
17,neutral,0.0011835143414090782
17,comfort,0.0011835143414090782
17,daze,0.0011835143414090782
17,smirk,0.0011835143414090782
17,yell,0.0011835143414090782
17,intens,0.0011835143414090782
17,creepi,0.0011835143414090782
16,amus,0.001113895850737956
16,grin,0.001113895850737956
16,frighten,0.001113895850737956
16,terrifi,0.001113895850737956
16,passion,0.001113895850737956
15,what,0.0010442773600668337
15,hungri,0.0010442773600668337
15,irrit,0.0010442773600668337
14,startl,0.0009746588693957114
14,freak,0.0009746588693957114
14,squint,0.0009746588693957114
13,critic,0.0009050403787245892
13,shout,0.0009050403787245892
13,babi,0.0009050403787245892
13,determin,0.0009050403787245892
13,apathet,0.0009050403787245892
13,joke,0.0009050403787245892
13,emotionless,0.0009050403787245892
12,furiou,0.000835421888053467
12,stern,0.000835421888053467
12,eager,0.000835421888053467
12,stress,0.000835421888053467
12,suspici,0.000835421888053467
12,perplex,0.000835421888053467
12,wow,0.000835421888053467
11,unfamiliar,0.0007658033973823447
11,mischevi,0.0007658033973823447
11,foolish,0.0007658033973823447
11,pout,0.0007658033973823447
11,white,0.0007658033973823447
11,passiv,0.0007658033973823447
11,collect,0.0007658033973823447
11,old,0.0007658033973823447
11,mischiev,0.0007658033973823447
11,stubborn,0.0007658033973823447
10,laugh,0.0006961849067112225
10,helpless,0.0006961849067112225
10,uncertain,0.0006961849067112225
10,satisfi,0.0006961849067112225
10,think,0.0006961849067112225
10,pretti,0.0006961849067112225
10,baffl,0.0006961849067112225
9,smiley,0.0006265664160401002
9,sli,0.0006265664160401002
9,anticip,0.0006265664160401002
9,naughti,0.0006265664160401002
9,judg,0.0006265664160401002
9,fake,0.0006265664160401002
9,enthusiast,0.0006265664160401002
9,scari,0.0006265664160401002
9,grumpi,0.0006265664160401002
8,horrifi,0.000556947925368978
8,unpleasnat,0.000556947925368978
8,remors,0.000556947925368978
8,cranki,0.000556947925368978
8,devast,0.000556947925368978
8,discont,0.000556947925368978
8,emot,0.000556947925368978
8,puzzl,0.000556947925368978
8,relax,0.000556947925368978
8,concentr,0.000556947925368978
8,surpis,0.000556947925368978
8,unimpress,0.000556947925368978
8,unawar,0.000556947925368978
8,blond,0.000556947925368978
8,well,0.000556947925368978
8,speechless,0.000556947925368978
7,mock,0.0004873294346978557
7,humor,0.0004873294346978557
7,heartbroken,0.0004873294346978557
7,love,0.0004873294346978557
7,analyz,0.0004873294346978557
7,peac,0.0004873294346978557
7,unfocus,0.0004873294346978557
7,sob,0.0004873294346978557
7,wrinkl,0.0004873294346978557
7,stun,0.0004873294346978557
7,loss,0.0004873294346978557
7,scard,0.0004873294346978557
7,distract,0.0004873294346978557
7,unphas,0.0004873294346978557
7,unsur,0.0004873294346978557
7,frown,0.0004873294346978557
7,tantrum,0.0004873294346978557
